Log file open, 02/12/15 09:58:17
LogInit:Display: Running engine for game: SpaceShooter
LogInit: Version: 4.4.3-2296771+++depot+UE4-Releases+4.4
LogInit: API Version: 2255576
LogInit: Compiled (64-bit): Sep 13 2014 22:30:58
LogInit: Build Configuration: DebugGame
LogInit: Branch Name: ++depot+UE4-Releases+4.4
LogInit: Command line:  -debug
LogInit: Base directory: C:/Program Files/Unreal Engine/4.4/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.02.12-14.58.17:994][  0]LogTaskGraph: Started task graph with 3 named threads and 4 total threads.
[2015.02.12-14.58.18:024][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.02.12-14.58.18:035][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.02.12-14.58.18:043][  0]LogInit: Object subsystem initialized
[2015.02.12-14.58.18:045][  0]LogInit: Selected Device Profile: [Windows]
[2015.02.12-14.58.18:046][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.02.12-14.58.18:052][  0]LogInit: Computer: C401IT27
[2015.02.12-14.58.18:053][  0]LogInit: User: sctcad
[2015.02.12-14.58.18:054][  0]LogInit: CPU Page size=4096, Cores=4
[2015.02.12-14.58.18:054][  0]LogInit: High frequency timer resolution =2.741230 MHz
[2015.02.12-14.58.18:054][  0]LogMemory: Memory total: Physical=6.0GB (6GB approx) Virtual=8192.0GB
[2015.02.12-14.58.18:055][  0]LogMemory: Platform Memory Stats for Windows
[2015.02.12-14.58.18:055][  0]LogMemory: Process Physical Memory: 60.67 MB used, 60.67 MB peak
[2015.02.12-14.58.18:056][  0]LogMemory: Process Virtual Memory: 36.18 MB used, 36.18 MB peak
[2015.02.12-14.58.18:056][  0]LogMemory: Physical Memory: 4257.42 MB used, 6134.93 MB total
[2015.02.12-14.58.18:056][  0]LogMemory: Virtual Memory: 256.68 MB used, 8388608.00 MB total
[2015.02.12-14.58.18:132][  0]LogD3D11RHI: Found D3D11 adapter 0: NVIDIA GeForce GTX 260   (Feature Level 10_0)
[2015.02.12-14.58.18:132][  0]LogD3D11RHI: Adapter has 1767MB of dedicated video memory, 0MB of dedicated system memory, and 2303MB of shared system memory, 1 output[s]
[2015.02.12-14.58.18:133][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.02.12-14.58.18:137][  0]LogRHI: Texture pool is 1237 MB (70% of 1767 MB)
[2015.02.12-14.58.18:169][  0]LogD3D11RHI: Async texture creation enabled
[2015.02.12-14.58.18:325][  0]LogContentStreaming: Texture pool size is 0.000000MB
[2015.02.12-14.58.19:928][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.02.12-14.58.20:324][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.02.12-14.58.20:372][  0]LogDerivedDataCache:Display: Max Cache Size: 512 MB
[2015.02.12-14.58.20:426][  0]LogDerivedDataCache: Loaded boot cache 0.05s 35MB C:/Users/sctcad/AppData/Local/UnrealEngine/4.4/DerivedDataCache/Boot.ddc.
